,DATE,STAR,REVIEW
27,2020년 11월 12일,별표 5개 만점에 1개를 받았습니다.,"장기간사용한 이용자인데도 해택이란건 1도찾아볼수없고 오히려 장기간사용해서인지 아니면 당연시 계속이용할꺼라는걸알아서인지 더 냉대하는 U+... 진짜 위약금만 아니였다면 확 갈아탔을껍니다... 해택이 유플러스에 있기는 합니까?? 말로는 이것도 있구요 저것도있구요~고객님께선 장기이용다시라서 할인도 더 받고계세요.... 넷플릭스리모콘으로 바꿔달라해도 셋탑박스가아니라는데??? 그건무슨경우입까~?? 인터넷.티비.IOT.핸드폰 전부다 U+인데도 오히려 매장가면 ""헐~ 이것도쓰고 저것도 쓰고있어"" 라고 수근대는 직원들... 제가더 민망합니다.....ㅉㅉㅉ매일 댓글에 죄송하다고 말로만쓰지마시고 뭘 개선을 좀 하시죠? 3년전이나 2년전이나 지금이나 어찌이리똑같은지....나는 나이를 계속먹고 U+에 돈은 계속 주고있는데...."
28,2021년 2월 4일,별표 5개 만점에 4개를 받았습니다.,이번에 자급제구매후 유심칩 연결했는데 이어플로 소액결제가 안된다고 하네요..ㅠㅠ 뭐따로 처리해야하나요?
29,2020년 12월 25일,별표 5개 만점에 1개를 받았습니다.,폰 번호가 012 로시작해서 수정이 안됨 pass앱도 그래서 못쓰는데 이것도 이러네 짜증..
30,2020년 12월 18일,별표 5개 만점에 1개를 받았습니다.,와 그나마 1개 있는 무료커피 없애버리니 내가 왜 유플을 써야하는가 전 알뜰로 넘어가겠습니다 장기고객 혜택 늘리지는 못할 망정 계속 줄이면 기존 사용자들도 줄어든다는걸 왜모름? 혜택 느려봐라 가입자들도 늘어나지 에휴 ㅉㅉ
31,2020년 9월 26일,별표 5개 만점에 2개를 받았습니다.,업데이트 이후 일시적 접속 불가 오류나고 종료되는 경우 삭제하고 재설치하니 되네요. 안되는 분들은 이렇게 해보세요. 개발하는 분들 잘 좀 만드시지.. 당황하게 하네요.
32,2021년 1월 4일,별표 5개 만점에 1개를 받았습니다.,갈수록 혜택없어지는... 요금제로 등급매기고 장기고객 위하는척만 혜택없으면 알뜰폰이나 타통신사로 가는게 답인거같음
33,2021년 2월 20일,별표 5개 만점에 2개를 받았습니다.,할인된다는 점에서는 좋다만 너무 소액만 할인이돼 조금 아쉽숩니다
34,2020년 10월 11일,별표 5개 만점에 2개를 받았습니다.,타통신사에 비해 유플은 멤버십 해택이 정말 형편없음. 들어가서 쓸려고 해도 딱히 쓸게없고 코로나 때문에 영화보기도 그렇고 어차피 두달밖에 안남았는데 다시는 유플는 안쓸듯. 유플은 세세한 하나하나 고객을 위한게 없어보임.
35,2021년 1월 1일,별표 5개 만점에 1개를 받았습니다.,원래는 1달에 2잔이었던 VIP 무료 커피 혜택도 1잔으로 줄이더니 스타벅스도 제휴 종료하고 이젠 할리스도 제휴 종료라서 못 쓰고 타사 대비 멤버쉽이 장점이 하나도 없네요. 타사보다 요금이 월등히 싼 것도 아니고 품질이 월등히 좋은 것도 아니고 그나마 있던 혜택들도 하나둘씩 줄여가는데 LG U+를 써야 하는 이유를 모르겠습니다. 한달에 88000원짜리 요금제를 쓰는데도 말만 VVIP 취급이지 타사 대비 쓸모 없는 혜택들만 잔뜩이고 그마저도 계속 줄여나가는걸 보면 그냥 SKT로 갈아타는게 나을 듯 합니다. LG U+만 10년을 썼는데 최근 갈수록 실망이네요. 타사 대비 장점이 없습니다.
36,2020년 9월 25일,별표 5개 만점에 1개를 받았습니다.,업데이트 하래서 했더니 서비스를 일시적으로 제공할 수 없다면서 안 열림. 나만 그런게 아니라 남편 것도 똑같은 현상을 보임. 이럴거면 업데이트 하지 마세요.. 자잘한거 개선하느라 큰 걸 놓치는게 아닌지..
